filename ,spectral_centroid ,rolloff ,zero_crossing_rate, mfcc1, mfcc2, mfcc3, mfcc4, mfcc5, mfcc6, mfcc7, mfcc8, mfcc9, mfcc10, mfcc11, mfcc12, mfcc13, mfcc14, mfcc15, mfcc16, mfcc17, mfcc18, mfcc19, mfcc20,chroma_pitch_c,chroma_pitch_c#,chroma_pitch_d,chroma_pitch_d#,chroma_pitch_e,chroma_pitch_f,chroma_pitch_f#,chroma_pitch_g,chroma_pitch_g#,chroma_pitch_a,chroma_pitch_a#,chroma_pitch_b,genre
blues.00000.au,1785.8877252959364,3760.366743401972,37297,-108.14644622802734,122.66236877441406,-19.987510681152344,41.51582717895508,-7.262518405914307,17.9122371673584,-14.057730674743652,15.018321990966797,-12.581686973571777,10.909834861755371,-8.435964584350586,8.875017166137695,-3.7601711750030518,5.347152233123779,-5.214111804962158,1.128664493560791,-1.3316627740859985,-0.5340757369995117,-2.2893309593200684,0.8105546832084656,0.3583245277404785,0.35468152165412903,0.44943860173225403,0.24521031975746155,0.23522046208381653,0.3457193076610565,0.3827540874481201,0.45822054147720337,0.3018205761909485,0.3082418739795685,0.4163530766963959,0.40259823203086853,blues
blues.00001.au,1613.529978885882,3744.6789805684457,24911,-200.88050842285156,121.2243881225586,12.410745620727539,34.884918212890625,-0.17326720058918,23.891605377197266,-10.282630920410156,24.17676544189453,-12.959576606750488,12.926426887512207,-7.1379075050354,4.883513927459717,-2.6878502368927,4.065474987030029,-6.918513774871826,1.8059158325195312,-1.454525351524353,0.5531395077705383,0.021331150084733963,0.9142739176750183,0.40285617113113403,0.32215332984924316,0.2952462434768677,0.20667371153831482,0.21752455830574036,0.35734179615974426,0.41382309794425964,0.5641239881515503,0.3763074278831482,0.23445561528205872,0.26558589935302734,0.29435425996780396,blues
blues.00002.au,1568.4761189000574,3022.6796727722594,35008,-87.3175048828125,141.03172302246094,-31.90611457824707,31.363100051879883,-13.516402244567871,26.730533599853516,-14.911125183105469,13.067070007324219,-12.901558876037598,11.831426620483398,-14.074356079101562,7.256365776062012,-9.808188438415527,0.2945074439048767,-10.469071388244629,2.897994041442871,-8.865885734558105,-1.1283295154571533,-4.6745805740356445,-1.5552089214324951,0.27499839663505554,0.19199691712856293,0.31059420108795166,0.39844048023223877,0.5472831726074219,0.31272250413894653,0.30198800563812256,0.27072837948799133,0.30555543303489685,0.3722934126853943,0.3706356883049011,0.6139587759971619,blues
blues.00003.au,1131.6188339392734,2285.0675436847446,15401,-192.5302276611328,147.48171997070312,6.517455101013184,27.451642990112305,-0.32998126745224,17.10740852355957,-6.969686985015869,9.187826156616211,-2.6533141136169434,8.10973834991455,-6.297379016876221,7.01063346862793,-2.741678237915039,-1.0073412656784058,-2.740238904953003,1.4333361387252808,-5.180393695831299,-0.1696520447731018,-1.6321778297424316,-3.9544568061828613,0.3632204234600067,0.4332182705402374,0.5511587858200073,0.5422319173812866,0.6088398694992065,0.5057884454727173,0.37166139483451843,0.26537084579467773,0.2534305453300476,0.30964013934135437,0.31899529695510864,0.3950115442276001,blues
blues.00004.au,1730.0158204149093,3314.8142945185614,41429,-167.68309020996094,136.1438446044922,-41.910926818847656,25.71736717224121,-34.41351318359375,13.400891304016113,-27.39671516418457,2.1617841720581055,-13.976365089416504,3.045232057571411,-14.318436622619629,0.5877260565757751,-10.515334129333496,-5.111641883850098,-10.87185287475586,-4.055716037750244,-5.481959819793701,0.3040603697299957,-5.553915023803711,-10.39611530303955,0.18436579406261444,0.2583100199699402,0.38757970929145813,0.24984261393547058,0.20236556231975555,0.5897933840751648,0.2756190001964569,0.12966859340667725,0.2273472547531128,0.3075971007347107,0.567641019821167,0.26327839493751526,blues
blues.00005.au,1849.5088830749146,3505.178301959469,41012,-171.58615112304688,117.00057220458984,-19.61939811706543,32.56844711303711,-21.953615188598633,12.201380729675293,-20.8090877532959,4.0855302810668945,-8.521319389343262,-1.0267421007156372,-12.076468467712402,-1.9995890855789185,-10.158516883850098,-9.979118347167969,-3.3649535179138184,-6.688350200653076,-1.9015491008758545,-2.767893075942993,-3.1987485885620117,-8.175860404968262,0.2259354144334793,0.3575991094112396,0.6539716124534607,0.21442319452762604,0.12971478700637817,0.23188069462776184,0.27950558066368103,0.38612887263298035,0.2326904833316803,0.28573843836784363,0.26178744435310364,0.33679816126823425,blues
blues.00006.au,1562.3259910848801,2896.815352650087,36203,-170.39077758789062,128.01617431640625,-42.00370407104492,35.628780364990234,7.3737335205078125,-0.12314748764038086,-21.778099060058594,1.040326714515686,-7.0115180015563965,-4.084529399871826,-7.340023517608643,-3.1511785984039307,-6.6604132652282715,-10.991729736328125,-7.123323917388916,-10.973642349243164,-11.486703872680664,-6.864250659942627,-2.343374013900757,-5.483461856842041,0.42436110973358154,0.22270585596561432,0.1497373878955841,0.1708967089653015,0.2647230923175812,0.5161640644073486,0.24702554941177368,0.17806340754032135,0.29000210762023926,0.4573167562484741,0.37273457646369934,0.33297622203826904,blues
blues.00007.au,1506.352593526834,3022.6796727722594,28272,-172.40646362304688,135.06837463378906,-28.15233612060547,43.17487335205078,1.408780574798584,10.675224304199219,-21.309268951416016,9.072089195251465,-11.930373191833496,-2.3915090560913086,-9.727151870727539,-6.787689208984375,-4.913478851318359,-8.247354507446289,-9.325953483581543,-8.926182746887207,-10.677596092224121,-9.880303382873535,-3.9942879676818848,-9.288232803344727,0.243874192237854,0.22059224545955658,0.31655269861221313,0.2329331338405609,0.22954009473323822,0.31843605637550354,0.1798233836889267,0.14019283652305603,0.2395346313714981,0.37886518239974976,0.6500681638717651,0.45862558484077454,blues
blues.00008.au,1711.6774399762621,3757.319120685905,27265,-124.45833587646484,122.21605682373047,-13.843465805053711,46.52790451049805,-8.455872535705566,20.03305435180664,-18.129108428955078,23.62678337097168,-11.785493850708008,20.941133499145508,-7.418665885925293,6.804759979248047,-12.60930347442627,5.5188422203063965,-5.106637001037598,-1.09050452709198,-6.979307174682617,2.5477466583251953,2.9295380115509033,-2.6283299922943115,0.32443711161613464,0.30910035967826843,0.36888599395751953,0.43976232409477234,0.5518518686294556,0.45618936419487,0.47383764386177063,0.3519631624221802,0.38981056213378906,0.4679345190525055,0.37810492515563965,0.4698887765407562,blues
blues.00009.au,1810.8045381478555,3804.195055330989,34145,-218.58782958984375,114.3687744140625,-11.763586044311523,37.9631233215332,-21.01539421081543,11.659994125366211,-8.750408172607422,9.014235496520996,-14.02721881866455,4.596858501434326,-4.783928871154785,4.276120185852051,1.8015474081039429,-4.216111183166504,0.45136234164237976,-0.05394771322607994,-1.7946124076843262,-2.7191317081451416,3.1957504749298096,-2.3881235122680664,0.19842560589313507,0.22326914966106415,0.513656497001648,0.2762957215309143,0.1937607079744339,0.3112070858478546,0.23448248207569122,0.416169136762619,0.2612801492214203,0.1803218573331833,0.2456287294626236,0.2325342446565628,blues
